timestamp               , symbol, price            , size   , exchange , conditions, data_source
2025-10-10T19:14:29.423Z, SPY   , 656.64           ,       2, D        , |I        , stock_trade
2025-10-10T19:14:29.468Z, SPY   , 656.634          ,       1, D        , |I        , stock_trade
2025-10-10T19:14:29.489Z, SPY   , 656.64           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:29.492Z, SPY   , 656.6456         ,       1, D        , |I        , stock_trade
2025-10-10T19:14:29.510Z, SPY   , 656.645          ,       1, D        , |I        , stock_trade
2025-10-10T19:14:29.520Z, SPY   , 656.6487         ,       1, D        , |I        , stock_trade
2025-10-10T19:14:29.522Z, SPY   , 656.645          ,       2, D        , |I        , stock_trade
2025-10-10T19:14:29.605Z, SPY   , 656.64           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:29.673Z, SPY   , 656.627          ,     229, D        ,           , stock_trade
2025-10-10T19:14:29.719Z, SPY   , 656.64           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:29.749Z, SPY   , 656.64           ,       1, D        , |I        , stock_trade
2025-10-10T19:14:29.787Z, SPY   , 656.6469         ,       2, D        , |I        , stock_trade
2025-10-10T19:14:29.817Z, SPY   , 656.6319         ,       2, D        , |I        , stock_trade
2025-10-10T19:14:29.825Z, SPY   , 656.64           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:29.863Z, SPY   , 656.6312         ,       1, D        , |I        , stock_trade
2025-10-10T19:14:29.965Z, SPY   , 656.64           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:30.071Z, SPY   , 656.66           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:30.149Z, SPY   , 656.67           ,       2, D        , |I        , stock_trade
2025-10-10T19:14:30.173Z, SPY   , 656.675          ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:30.174Z, SPY   , 656.67           ,      10, T        , |F|I      , stock_trade
2025-10-10T19:14:30.301Z, SPY   , 656.665          ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:30.447Z, SPY   , 656.67           ,     100, SYNTHETIC, TEST      , synthetic_trade
2025-10-10T19:14:30.470Z, SPY   , 656.676          ,       1, D        , |I        , stock_trade
